❯ k get svc -A
NAMESPACE                                  NAME                                                              TYPE           CLUSTER-IP       EXTERNAL-IP                                  PORT(S)                                                                            AGE
vcluster--accel-webapp-dev                 core-inventory-system-frontend-service-x-core-invent-3d1be566d1   ClusterIP      10.96.42.63      <none>                                       80/TCP                                                                             597d
vcluster--accel-webapp-dev                 core-inventory-system-service-x-core-inventory-syste-10b67e40b3   ClusterIP      10.104.12.178    <none>                                       80/TCP                                                                             629d
vcluster--accel-webapp-dev                 core-work-management-frontend-service-x-core-work-ma-70fc21230c   ClusterIP      10.111.90.112    <none>                                       80/TCP                                                                             597d
vcluster--accel-webapp-dev                 core-work-management-service-x-core-work-management--b6aaf6d6c2   ClusterIP      10.105.78.170    <none>                                       80/TCP                                                                             628d
vcluster--accel-webapp-dev                 cwm-cluster-rs0-x-core-work-management-x-vcluster--a-cac109dd93   ClusterIP      None             <none>                                       27017/TCP                                                                          628d
vcluster--accel-webapp-dev                 eed-cluster-broker-node-pool-0-x-kafka-x-vcluster--a-0249dcfe06   LoadBalancer   10.100.247.136   172.24.8.135                                 9094:32170/TCP                                                                     216d
vcluster--accel-webapp-dev                 eed-cluster-broker-node-pool-1-x-kafka-x-vcluster--a-63862e06ae   LoadBalancer   10.107.82.116    172.24.8.138                                 9094:31777/TCP                                                                     216d
vcluster--accel-webapp-dev                 eed-cluster-broker-node-pool-2-x-kafka-x-vcluster--a-b53a40104c   LoadBalancer   10.97.250.191    172.24.8.141                                 9094:31634/TCP                                                                     216d
vcluster--accel-webapp-dev                 eed-cluster-cruise-control-x-kafka-x-vcluster--accel-webapp-dev   ClusterIP      10.104.184.69    <none>                                       9090/TCP                                                                           301d
vcluster--accel-webapp-dev                 eed-cluster-kafka-bootstrap-x-kafka-x-vcluster--acce-998df15011   ClusterIP      10.105.123.121   <none>                                       9091/TCP,9092/TCP,9093/TCP                                                         301d
vcluster--accel-webapp-dev                 eed-cluster-kafka-brokers-x-kafka-x-vcluster--accel-webapp-dev    ClusterIP      None             <none>                                       9090/TCP,9091/TCP,8443/TCP,9092/TCP,9093/TCP                                       301d
vcluster--accel-webapp-dev                 eed-cluster-kafka-external-bootstrap-x-kafka-x-vclus-07edbdf244   LoadBalancer   10.111.157.66    172.24.8.129                                 9094:31733/TCP                                                                     216d
